Fiscal.Year,Big.Bend,Del.Rio,El.Centro,El.Paso,Laredo,Rio.Grande.Valley,San.Diego,Tucson,Yuma,Southwest.Border.Total
2018,"8,045","15,833","29,230","31,561","32,641","162,262","38,591","52,172","26,244","396,579"
2017,"6,002","13,476","18,633","25,193","25,460","137,562","26,086","38,657","12,847","303,916"
2016,"6,366","23,078","19,448","25,634","36,562","186,830","31,891","64,891","14,170","408,870"
2015,"5,031","19,013","12,820","14,495","35,888","147,257","26,290","63,397","7,142","331,333"
2014,"4,096","24,255","14,511","12,339","44,049","256,393","29,911","87,915","5,902","479,371"
2013,"3,684","23,510","16,306","11,154","50,749","154,453","27,496","120,939","6,106","414,397"
2012,"3,964","21,720","23,916","9,678","44,872","97,762","28,461","120,000","6,500","356,873"
2011,"4,036","16,144","30,191","10,345","36,053","59,243","42,447","123,285","5,833","327,577"
2010,"5,288","14,694","32,562","12,251","35,287","59,766","68,565","212,202","7,116","447,731"
2009,"6,360","17,082","33,521","14,999","40,569","60,989","118,721","241,673","6,951","540,865"
2008,"5,391","20,761","40,961","30,312","43,658","75,473","162,390","317,696","8,363","705,005"
2007,"5,536","22,920","55,883","75,464","56,714","73,430","152,460","378,239","37,992","858,638"
2006,"7,520","42,636","61,465","122,256","74,840","110,528","142,104","392,074","118,549","1,071,972"
2005,"10,536","68,506","55,722","122,679","75,346","134,186","126,904","439,079","138,438","1,171,396"
2004,"10,530","53,794","74,467","104,399","74,706","92,947","138,608","491,771","98,060","1,139,282"
2003,"10,319","50,145","92,099","88,816","70,521","77,749","111,515","347,263","56,638","905,065"
2002,"11,392","66,985","108,273","94,154","82,095","89,927","100,681","333,648","42,654","929,809"
2001,"12,087","104,875","172,852","112,857","87,068","107,844","110,075","449,675","78,385","1,235,718"
2000,"13,689","157,178","238,126","115,696","108,973","133,243","151,681","616,346","108,747","1,643,679"
1999,"14,952","156,653","225,279","110,857","114,004","169,151","182,267","470,449","93,388","1,537,000"
1998,"14,509","131,058","226,695","125,035","103,433","204,257","248,092","387,406","76,195","1,516,680"
1997,"12,692","113,280","146,210","124,376","141,893","243,793","283,889","272,397","30,177","1,368,707"
1996,"13,214","121,137","66,873","145,929","131,841","210,553","483,815","305,348","28,310","1,507,020"
1995,"11,552","76,490","37,317","110,971","93,305","169,101","524,231","227,529","20,894","1,271,390"
1994,"13,494","50,036","27,654","79,688","73,142","124,251","450,152","139,473","21,211","979,101"
1993,"15,486","42,289","30,058","285,781","82,348","109,048","531,689","92,639","23,548","1,212,886"
1992,"13,819","33,414","29,852","248,642","72,449","85,889","565,581","71,036","24,892","1,145,574"
1991,"8,764","38,554","30,450","211,775","72,293","87,319","540,347","59,728","28,646","1,077,876"
1990,"7,180","41,373","28,708","223,219","89,052","97,018","473,323","53,061","36,387","1,049,321"
1989,"5,560","46,786","27,524","168,105","75,292","79,650","366,757","51,445","31,387","852,506"
1988,"6,209","59,403","41,179","182,566","69,912","60,294","431,592","48,683","42,723","942,561"
1987,"9,586","64,934","55,291","231,994","74,139","71,038","500,327","47,481","67,277","1,122,067"
1986,"23,796","123,952","95,186","312,892","143,685","121,783","629,656","71,675","93,219","1,615,844"
1985,"23,667","99,280","71,519","240,350","114,931","82,826","427,772","55,269","67,737","1,183,351"
1984,"22,196","87,058","68,563","212,652","87,059","66,860","407,828","46,283","59,777","1,058,276"
1983,"20,829","83,733","71,897","205,944","65,279","57,706","429,121","35,870","63,595","1,033,974"
1982,"20,268","48,753","55,440","152,882","40,385","32,533","314,979","32,344","48,236","745,820"
1981,"17,584","50,455","59,774","146,872","36,910","32,809","326,836","33,085","45,483","749,808"
1980,"15,602","50,762","57,009","127,488","39,167","35,012","285,984","33,668","45,862","690,554"
1979,"20,116","50,262","55,532","149,722","50,666","41,915","337,930","37,075","52,580","795,798"
1978,"23,501","54,098","42,118","174,010","36,627","45,201","325,557","34,991","53,338","789,441"
1977,"22,239","42,322","38,421","145,059","27,289","38,704","337,195","33,295","48,669","733,193"
1976,"19,846","32,988","32,327","114,886","24,665","38,839","266,709","34,641","42,598","607,499"
1975,"20,472","32,008","27,217","99,000","26,199","31,300","185,499","39,941","50,628","512,264"
1974,"23,291","44,098","26,143","112,432","30,061","38,668","196,981","50,108","49,824","571,606"
1973,"22,378","42,232","23,125","82,386","23,854","37,092","128,889","44,824","36,286","441,066"
1972,"20,269","31,110","15,327","78,168","21,781","29,338","73,115","32,272","19,946","321,326"
1971,"22,026","25,780","14,292","57,796","17,665","28,281","59,375","23,548","15,228","263,991"
1970,"16,770","18,711","12,028","43,640","11,569","20,708","50,663","14,222","13,469","201,780"
1969,"11,973","12,991","9,195","31,159","8,129","14,076","33,311","8,301","8,833","137,968"
1968,"8,834","9,576","8,358","19,408","5,715","10,093","24,116","4,537","6,004","96,641"
1967,"7,049","7,906","6,974","13,656","4,178","9,029","17,844","3,068","4,269","73,973"
1966,"6,592","6,845","6,916","10,119","3,658","8,706","13,362","2,392","4,050","62,640"
1965,"3,973","4,292","5,344","6,355","2,310","8,057","6,558","1,480","1,651","40,020"
1964,"3,146","4,489","2,640","4,486","2,168","9,173","4,521","1,200",696,"32,519"
1963,"2,026","4,417","1,690","3,813","1,753","9,992","3,768","1,466",719,"29,644"
1962,"1,431","3,250","1,426","3,304","1,274","5,569","3,091","1,247",511,"21,103"
1961,954,"3,458","1,878","3,540","1,172","6,713","2,279","1,178",573,"21,745"
1960,732,"3,023","1,839","3,630","1,024","5,515","3,371","1,255",633,"21,022"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,